AIdent,Hours_Worked
186888,203.24
186888,99.79
186890,35.5
186890,9
186890,28.75
186892,5.75
186894,29.25
186894,35.25
186907,12.08
186907,12.92
186910,112
186910,352
186911,864
186914,22.25
186917,178.55
186917,40.75
186917,169.25
186918,7
186921,20
186921,53.2
186921,140.88
186921,39.75
186922,48.23
186922,16
186923,22.5
186925,698.5
186926,10.75
186928,8
186929,44.96
186930,96.51
186930,220.6
186930,328.26
186932,63.5
186934,4.83
186935,96
186935,116.25
186935,1
186935,133.39
186936,160.53
186937,54.98
186938,67
186939,8
186943,46.97
186943,109.71
186945,36
186946,40.83
186946,194.85
186948,188.67
186948,120.5
186949,67
186949,150
186949,272
186950,23.51
186950,31.72
186950,67.25
186950,51.75
186951,833.75
186952,5
186954,64.47
186954,429.44
186954,316.43
186957,120
186959,427.5
186961,44.3
186962,44.32
186963,4
186963,1131
186966,76.5
186966,1.5
186968,3
186968,259
186969,87
186971,94
186973,30
186974,146.5
186977,64.3
186977,153.23
186978,30
186979,64.13
186979,160.9
186980,4
186981,3.42
186982,20.3
186982,23.75
186986,9.5
186986,58.47
186986,13.4
186986,20.5
186991,4
186993,4
186994,5.25
186995,5.25
186996,8
186996,41.5
186996,37
186996,15.98
186997,44.25
186997,40
186997,60
186997,10
186998,32
187001,26.2
187004,145.14
187006,24.5
187006,7.25
187007,529.75
187009,8
187009,202.53
187009,27.94
187011,200.01
187011,289.59
187011,304.55
187012,652.5
187014,5.23
187018,9.5
187019,5.98
187020,11.98
187021,55.25
187022,53.25
187025,227
187025,110.37
187025,231.29
187027,1
187028,1
187029,48.13
187029,199.85
187030,13.5
187031,15.75
187031,17.48
187031,8
187031,9
187036,18.63
187036,63.68
187038,120
187040,95.89
187040,8
187040,9.28
187041,16.07
187042,16.03
187045,198.41
187045,17.5
187045,43.4
187049,524.62
187052,8.2
187052,10.07
187054,4
187057,8
187058,20.76
187058,0
187058,4
187058,8
187060,8
187061,8
187064,24
187068,293.75
187069,48
187075,16
187076,4
187076,127.08
187076,217.5
187077,107
187078,172.05
187080,193.5
187081,1.5
187085,914
187086,63.1
187086,47.5
187086,25.5
187090,149.75
187092,11.25
187092,66.5
187094,168.11
187094,140.69
187095,193.75
187095,376.27
187100,16.5
187102,15.7
187102,17.46
187102,18.8
187103,14
187107,201.02
187107,291.41
